City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
126,Naron,ES,43.5167,-8.1528,55.02,88,64,4.59,broken clouds
127,Palmer,US,42.1584,-72.3287,63.09,79,90,15.99,light rain
128,Upernavik,GL,72.7868,-56.1549,4.64,91,100,9.91,overcast clouds
129,Nantucket,US,41.2835,-70.0995,62.94,91,90,29.93,mist
130,Faya,SA,18.3851,42.4509,41.11,39,98,2.82,overcast clouds
131,Kodiak,US,57.79,-152.4072,9.91,56,1,40.29,clear sky
132,Garowe,SO,8.4054,48.4845,70.18,74,3,10.54,clear sky
133,Jasper,US,37.2001,-94.3502,37.02,62,1,1.01,clear sky
134,Grindavik,IS,63.8424,-22.4338,41.47,93,75,16.11,broken clouds
135,Hasaki,JP,35.7333,140.8333,57.6,60,55,19.57,broken clouds
136,Castro,BR,-24.7911,-50.0119,67.89,53,100,2.08,overcast clouds
137,Mar Del Plata,AR,-38.0023,-57.5575,67.87,91,0,21.99,clear sky
138,Micheweni,TZ,-4.9667,39.8333,79.79,81,33,9.08,moderate rain
139,Vardo,NO,70.3705,31.1107,28.11,85,100,16.89,overcast clouds
140,Luderitz,NA,-26.6481,15.1594,58.66,79,69,10.25,broken clouds
141,Zhigansk,RU,66.7697,123.3711,-10.66,98,100,8.97,overcast clouds
142,Yellowknife,CA,62.456,-114.3525,8.42,89,90,8.05,light snow
143,Bose,IT,45.4612,8.0137,35.82,47,26,5.41,scattered clouds
144,Bilibino,RU,68.0546,166.4372,-40.7,99,17,3.47,few clouds
145,Izumo,JP,35.3667,132.7667,60.69,59,75,18.41,broken clouds
146,Zhanakorgan,KZ,43.9098,67.2495,43.77,78,100,12.68,overcast clouds
147,Mogadishu,SO,2.0371,45.3438,78.04,81,32,15.57,scattered clouds
148,Quatre Cocos,MU,-20.2078,57.7625,81.09,64,20,14.81,few clouds
149,Shenjiamen,CN,29.9576,122.298,53.92,78,100,22.88,overcast clouds
150,Southbridge,US,42.0751,-72.0334,63.28,92,100,8.99,moderate rain
151,Eunice,US,30.4944,-92.4176,53.56,57,100,11.63,overcast clouds
152,Cherskiy,RU,68.75,161.3,-45.8,99,39,3.06,scattered clouds
153,Zaanstad,NL,52.4531,4.8125,46.38,95,75,5.01,light intensity drizzle
154,Tiarei,PF,-17.5333,-149.3333,84.22,71,34,7.18,scattered clouds
155,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.58,99,100,0.89,light rain
156,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,89,100,16.71,overcast clouds
157,Pevek,RU,69.7008,170.3133,-35.68,97,42,5.86,scattered clouds
158,Vila Velha,BR,-20.3297,-40.2925,76.95,89,75,10.0,broken clouds
159,Praya,CV,14.9215,-23.5087,70.34,83,20,11.5,few clouds
160,Srednekolymsk,RU,67.45,153.6833,-50.12,100,81,2.35,broken clouds
161,Hithadhoo,MV,-0.6,73.0833,80.26,79,93,7.47,overcast clouds
162,Basavana Bagevadi,IN,16.5833,75.9667,75.27,63,4,13.33,clear sky
163,Spasskoye,RU,44.6108,132.7969,19.2,63,54,13.18,broken clouds
164,Wewak,PG,-3.5534,143.6268,84.22,76,100,7.65,overcast clouds
165,Kuytun,RU,54.3419,101.5036,11.86,84,100,2.19,light snow
166,Otane,NZ,-39.8833,176.6333,58.01,98,100,5.37,overcast clouds
167,Port-Gentil,GA,-0.7193,8.7815,78.15,87,100,11.36,overcast clouds
168,Saint-Pierre,RE,-21.3393,55.4781,81.28,66,0,4.61,clear sky
169,San Ignacio,BZ,17.1561,-89.0714,71.74,94,0,0.0,clear sky
170,Berlevag,NO,70.8578,29.0864,28.71,78,100,10.09,overcast clouds
171,Labrea,BR,-7.2586,-64.7981,73.45,93,100,3.02,overcast clouds
172,Shahr-E Kord,IR,32.3256,50.8644,19.17,73,0,2.3,clear sky
173,Vaini,TO,-21.2,-175.2,86.16,79,20,8.05,light rain
174,Hualmay,PE,-11.0964,-77.6139,66.78,88,54,8.23,broken clouds
175,Severo-Kurilsk,RU,50.6789,156.125,32.76,96,100,24.14,snow
176,Itarema,BR,-2.9248,-39.9167,80.33,77,25,14.74,scattered clouds
177,Hambantota,LK,6.1241,81.1185,75.54,100,40,3.44,scattered clouds
178,Bayeux,BR,-7.125,-34.9322,79.43,83,20,5.75,few clouds
179,Kiama,AU,-34.6833,150.8667,73.99,63,63,15.57,broken clouds
180,Mount Isa,AU,-20.7333,139.5,98.37,9,0,8.05,clear sky
181,Athabasca,CA,54.7169,-113.2854,26.42,88,70,4.88,broken clouds
182,Saint George,US,37.1041,-113.5841,40.32,62,1,1.01,clear sky
183,Phichit,TH,16.25,100.4167,89.01,39,2,1.57,clear sky
184,Touros,BR,-5.1989,-35.4608,79.7,68,56,14.0,broken clouds
185,Paamiut,GL,61.994,-49.6678,23.99,86,100,23.69,overcast clouds
186,Camargo,MX,27.6667,-105.1667,55.99,42,2,7.61,clear sky
187,Kuito,AO,-12.3833,16.9333,58.77,95,100,3.2,overcast clouds
188,Salalah,OM,17.0151,54.0924,75.29,35,0,13.8,clear sky
189,Empalme,MX,27.9667,-110.8167,63.91,49,0,8.34,clear sky
190,Ngunguru,NZ,-35.6167,174.5,75.16,92,93,8.68,overcast clouds
191,Samdrup Jongkhar,BT,26.9167,91.6167,65.43,47,1,4.03,clear sky
192,Cayenne,GF,4.9333,-52.3333,80.1,89,75,5.01,light rain
193,Bengkulu,ID,-3.8004,102.2655,76.26,89,100,1.36,overcast clouds
194,Saldanha,ZA,-33.0117,17.9442,57.25,83,100,2.46,overcast clouds
195,Huarmey,PE,-10.0681,-78.1522,67.86,84,54,6.76,broken clouds
196,Portland,US,45.5234,-122.6762,47.89,93,90,1.01,overcast clouds
197,Miraflores,MX,19.2167,-98.8083,59.04,54,89,3.62,overcast clouds
198,Kailua,US,21.4022,-157.7394,78.78,69,20,10.36,few clouds
199,Malumfashi,NG,11.7853,7.6218,62.98,20,98,9.06,overcast clouds
200,Evensk,RU,61.95,159.2333,2.43,59,94,16.42,overcast clouds
201,Ashqelon,IL,31.6693,34.5715,65.91,45,55,3.31,broken clouds
202,Katsuura,JP,35.1333,140.3,66.22,65,34,23.02,scattered clouds
203,Clyde River,CA,70.4692,-68.5914,-1.97,84,26,9.22,scattered clouds
204,Dunedin,NZ,-45.8742,170.5036,56.41,61,19,12.88,few clouds
205,East London,ZA,-33.0153,27.9116,67.14,94,20,0.0,few clouds
206,Kahului,US,20.8947,-156.47,78.82,75,20,21.85,few clouds
207,Marsh Harbour,BS,26.5412,-77.0636,76.42,77,8,6.64,clear sky
208,Bandarbeyla,SO,9.4942,50.8122,77.68,76,59,20.69,light rain
209,Takoradi,GH,4.8845,-1.7554,78.94,86,47,4.29,scattered clouds
210,Chuy,UY,-33.6971,-53.4616,60.67,88,1,6.04,clear sky
211,Ruwi,OM,23.5996,58.5507,64.09,52,2,4.41,clear sky
212,Ottumwa,US,41.02,-92.4113,34.95,60,1,3.0,clear sky
213,Musiri,IN,10.9333,78.45,80.64,72,6,5.77,clear sky
214,Manta,EC,-0.95,-80.7333,73.18,88,90,3.44,light rain
215,Youghal,IE,51.95,-7.8506,54.61,100,99,19.26,overcast clouds
216,Tobermory,CA,45.2501,-81.6665,32.31,59,66,35.97,broken clouds
217,Lubao,PH,14.9167,120.55,87.87,74,98,11.1,overcast clouds
218,Svetlogorsk,BY,52.6333,29.7333,38.55,96,100,6.42,overcast clouds
219,Todos Santos,MX,23.45,-110.2167,70.66,78,0,8.34,clear sky
220,Araouane,ML,18.9048,-3.5265,63.14,10,6,9.26,clear sky
221,Mtambile,TZ,-5.3833,39.7,78.26,83,16,7.67,moderate rain
222,Aswan,EG,24.0934,32.907,65.5,59,0,13.8,clear sky
223,Nerchinskiy Zavod,RU,51.3088,119.61,-0.47,73,5,2.51,clear sky
224,Dortyol,TR,36.8616,36.2289,46.06,64,7,10.76,clear sky
225,Hovd,MN,48.0056,91.6419,9.05,61,0,0.34,clear sky
226,Palauig,PH,15.435,119.9045,84.88,66,65,6.76,broken clouds
227,Ponta Do Sol,PT,32.6667,-17.1,65.01,79,54,3.38,broken clouds
228,Nizhniy Tsasuchey,RU,50.5167,115.1333,9.81,61,10,6.38,clear sky
229,Oranjemund,NA,-28.55,16.4333,59.56,89,61,6.15,broken clouds
230,Kelowna,CA,49.8831,-119.4857,41.99,83,90,1.99,overcast clouds
231,Machali,CL,-34.1833,-70.6667,55.85,85,69,1.45,broken clouds
232,Narsaq,GL,60.9167,-46.05,21.42,86,44,6.24,scattered clouds
233,Crisan,RO,44.9667,29.4667,52.56,77,100,15.84,overcast clouds
234,Sobolevo,RU,54.4299,31.8996,31.68,97,100,8.99,overcast clouds
235,Saskylakh,RU,71.9167,114.0833,-45.65,100,70,1.81,broken clouds
236,Haines Junction,CA,60.7522,-137.5108,4.95,61,100,2.3,overcast clouds
237,Seoul,KR,37.5683,126.9778,44.11,45,0,11.5,clear sky
238,Avera,US,33.194,-82.5271,62.47,77,100,12.3,overcast clouds
239,Progreso,MX,21.2833,-89.6667,78.12,67,99,9.01,overcast clouds
240,Gubkinskiy,RU,64.434,76.5026,-10.52,96,55,9.26,broken clouds
241,Obo,CF,5.3998,26.4869,72.82,43,61,4.63,broken clouds
242,Oranjestad,AW,12.524,-70.027,78.75,86,20,1.99,few clouds
243,Beloha,MG,-25.1667,45.05,83.59,52,1,9.08,clear sky
244,Samarai,PG,-10.6167,150.6667,85.91,72,70,21.77,broken clouds
245,Det Udom,TH,14.906,105.0784,80.42,53,3,10.94,clear sky
246,Sept-Iles,CA,50.2001,-66.3821,27.12,95,90,13.0,snow
247,Antofagasta,CL,-23.65,-70.4,61.88,77,24,4.16,few clouds
248,Saint-Augustin,CA,51.226,-58.6502,26.96,72,100,12.1,overcast clouds
249,Nabire,ID,-3.3667,135.4833,89.22,59,91,5.26,overcast clouds
250,Umuarama,BR,-23.7664,-53.325,75.96,35,100,6.06,overcast clouds
251,Dori,BF,14.0354,-0.0345,72.64,16,100,8.55,overcast clouds
252,Meulaboh,ID,4.1363,96.1285,84.85,68,11,2.15,few clouds
